tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle,overview
tt0211915,4,nm0186677,actress,Amandine Poulain,8.3,797194,nm0000466,"nm0491011,nm0000466",movie,Le fabuleux destin d'Amélie Poulain,0.0,2001.0,122.0,"Comedy,Romance",2000.0,Lorella Cravotta,1958.0,,actress,"tt0211915,tt0112682,tt1565958,tt0100747",Le fabuleux destin d'Amélie Poulain,FR,fr,0,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
tt0211915,4,nm0186677,actress,Amandine Poulain,8.3,797194,nm0000466,"nm0491011,nm0000466",movie,Le fabuleux destin d'Amélie Poulain,0.0,2001.0,122.0,"Comedy,Romance",2000.0,Lorella Cravotta,1958.0,,actress,"tt0211915,tt0112682,tt1565958,tt0100747",Amélie des Abbesses,FR,fr,0,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
tt0211915,4,nm0186677,actress,Amandine Poulain,8.3,797194,nm0000466,"nm0491011,nm0000466",movie,Le fabuleux destin d'Amélie Poulain,0.0,2001.0,122.0,"Comedy,Romance",2000.0,Lorella Cravotta,1958.0,,actress,"tt0211915,tt0112682,tt1565958,tt0100747",Amélie,FR,fr,0,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
tt0395169,10,nm0803225,actor,Head Chef,8.1,373453,nm0313623,"nm0669311,nm0313623",movie,Hotel Rwanda,0.0,2004.0,121.0,"Biography,Drama,History",2000.0,Mabutho 'Kid' Sithole,,,actor,"tt0395169,tt0109067,tt2336284,tt12303896",Hôtel Rwanda,FR,fr,0,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives."
tt0287624,8,nm0069408,actor,unknown,5.7,682,nm0028196,"nm0028196,nm0326089",movie,Paradise Found,0.0,2003.0,93.0,"Biography,Drama",2000.0,Karel Belohradský,1943.0,2012.0,actor,"tt0251114,tt0102181,tt0213322,tt0283027",Gauguin,FR,fr,0,"Paradise Found is a biography about the painter Paul Gauguin. Focusing on his personal conflict between citizen life and his family life and the art scene in Frane. In an incredible imagery montage Gauguin manages to make a successful living in the South Pacific, while being in opposition to France."
tt0276820,2,nm0433465,actress,Manuela,7.1,1174,nm0836708,nm0836708,movie,Berlin Is in Germany,0.0,2001.0,99.0,Drama,2000.0,Julia Jäger,1970.0,,actress,"tt0896667,tt2779016,tt0099514,tt0806901",Berlin Is in Germany,FR,fr,0,"When Martin, a former GDR citizen, is released from jail, he lately becomes confronted with the consequences of the German re-unification."
tt0367882,8,nm1216826,actor,Dovchenko,6.2,493255,nm0000229,"nm0462895,nm0000184,nm0622288,nm0442241",movie,Indiana Jones and the Kingdom of the Crystal Skull,0.0,2008.0,122.0,"Action,Adventure",2000.0,Igor Zhizhikin,1965.0,,actor,"tt0367882,tt0309377,tt1656190,tt1846589",Indiana Jones et le Royaume du crâne de cristal,FR,fr,0,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts."
tt0441909,9,nm0246681,actress,Regina,7.6,107839,nm0000264,nm0000264,movie,Volver,0.0,2006.0,121.0,"Comedy,Drama",2000.0,María Isabel Díaz Lago,1964.0,,actress,"tt0472043,tt0441909,tt4524056,tt0892255",Volver,FR,fr,0,"While a woman attempts to cover up her daughter's murder and reinvent her life, her sister is visited by their mother, who was thought to have died."
tt0289635,8,nm0574320,actor,Bill,6.3,14713,nm0533284,"nm0873257,nm0533284",movie,Young Adam,0.0,2003.0,98.0,"Crime,Drama",2000.0,Stuart McQuarrie,1963.0,,actor,"tt0289043,tt0117951,tt1431181,tt6450804",Young Adam,FR,fr,0,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.
tt0146882,9,nm0716854,actor,Vince,7.4,190591,nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",movie,High Fidelity,0.0,2000.0,113.0,"Comedy,Drama,Music",2000.0,Chris Rehmann,,,actor,"tt0146882,tt0115163,tt0278255,tt2056709",Haute fidélité,FR,fr,0,"When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood."
